,goals,squad,shots_on_target,position,shots_on_target_per90,games_subs,goals_assists_pens_per90,minutes,goals_pens_per90,age,cards_per90,fouls_per90,cards_yellow,goals_per90,minutes_per_game,fouls,games_starts,assists,nationality,pens_att,goals_assists_per90,cards_red,pens_made,games,player
269,0,Tottenham Hotspur,2,MF,0.15,5,0.00,"1,226",0.00,26,0.37,1.84,5,0.00,58,25,16,0,hn HON,0,0.00,0,0,21,Wilson Palacios
270,0,West Bromwich Albion,1,DF,0.07,1,0.07,"1,216",0.00,27,0.07,1.04,1,0.00,81,14,14,1,sk SVK,0,0.07,0,0,15,Marek Čech
271,0,Manchester United,4,"DF,MF",0.30,1,0.08,"1,198",0.00,20,0.30,1.35,3,0.00,75,18,15,1,br BRA,0,0.08,1,0,16,Rafael
272,0,Sunderland,0,DF,0.00,3,0.08,"1,193",0.00,27,0.38,1.66,4,0.00,66,22,15,1,gh GHA,0,0.08,1,0,18,John Mensah
273,3,Sunderland,14,"MF,FW",1.07,1,0.30,"1,183",0.15,26,0.15,1.07,2,0.23,85,14,13,2,bj BEN,1,0.38,0,1,14,Stéphane Sessègnon
274,1,Manchester United,7,MF,0.53,4,0.30,"1,182",0.08,22,0.15,1.22,2,0.08,66,16,14,3,br BRA,0,0.30,0,0,18,Anderson
275,1,Wolverhampton Wanderers,2,"DF,MF",0.15,1,0.08,"1,175",0.08,35,0.38,1.69,5,0.08,78,22,14,0,eng ENG,0,0.08,0,0,15,Jody Craddock
276,0,Tottenham Hotspur,0,DF,0.00,2,0.08,"1,163",0.00,24,0.08,0.62,1,0.00,78,8,13,1,hr CRO,0,0.08,0,0,15,Vedran Ćorluka
277,2,Tottenham Hotspur,6,MF,0.46,1,0.31,"1,162",0.15,23,0.23,1.55,3,0.15,83,20,13,2,eng ENG,0,0.31,0,0,14,Tom Huddlestone
278,1,Stoke City,1,"MF,DF",0.08,2,0.08,"1,127",0.08,32,0.08,1.12,1,0.08,81,14,12,0,sn SEN,0,0.08,0,0,14,Abdoulaye Faye
279,2,Sunderland,11,"FW,MF,DF",0.88,17,0.48,"1,122",0.16,33,0.16,1.60,1,0.16,42,20,10,4,nl NED,0,0.48,1,0,27,Boudewijn Zenden
280,2,West Bromwich Albion,12,FW,0.97,11,0.24,"1,119",0.16,29,0.00,1.29,0,0.16,45,16,14,1,fr FRA,0,0.24,0,0,25,Marc-Antoine Fortuné
281,1,Fulham,10,MF,0.81,17,0.24,"1,118",0.08,31,0.24,1.69,2,0.08,41,21,10,2,hu HUN,0,0.24,1,0,27,Zoltán Gera
282,0,Wolverhampton Wanderers,0,DF,0.00,3,0.00,"1,116",0.00,22,0.08,0.73,1,0.00,70,9,13,0,eng ENG,0,0.00,0,0,16,Michael Mancienne
283,3,Wolverhampton Wanderers,9,MF,0.73,1,0.32,"1,115",0.24,23,0.24,0.65,3,0.24,80,8,13,1,eng ENG,0,0.32,0,0,14,Jamie O'Hara
284,2,Chelsea,3,DF,0.24,3,0.16,"1,109",0.16,28,0.24,0.73,3,0.16,74,9,12,0,br BRA,0,0.16,0,0,15,Alex
285,4,Liverpool,22,FW,1.80,1,0.57,"1,100",0.33,23,0.16,0.90,2,0.33,85,11,12,3,uy URU,0,0.57,0,0,13,Luis Suárez
286,4,Stoke City,10,FW,0.82,19,0.49,"1,096",0.33,30,0.25,2.22,3,0.33,39,27,9,2,jm JAM,0,0.49,0,0,28,Ricardo Fuller
