,games_starts_gk,losses,minutes_per_game_gk,save_perc,nationality,player,position,age,clean_sheets_perc,wins,goals_against_per90,games_subs_gk,goals_against,shots_on_target_against,games_gk,clean_sheets,minutes_gk,draws,squad,pens_made,goals_assists_per90,fouls,goals,goals_assists_pens_per90,goals_per90,minutes_per_game_pl,games_starts_pl,games_subs_pl,cards_per90,shots_on_target_per90,goals_pens_per90,games_pl,cards_yellow,cards_red,assists,minutes_pl,fouls_per90,shots_on_target,pens_att,season
415,,,,,lr,George Weah,FW,33.0,,,,,,,,,,,Manchester City,0,0.57,5,1,0.57,0.19,68,5,2,0.0,1.14,0.19,7,0,0,2,475,0.95,6,0,2000
416,,,,,eng,Tony Grant,MF,25.0,,,,,,,,,,,Manchester City,0,0.0,8,0,0.0,0.0,47,5,5,0.0,0.19,0.0,10,0,0,0,468,1.54,1,0,2000
417,,,,,sco,Gary Locke,MF,25.0,,,,,,,,,,,Bradford City,0,0.0,7,0,0.0,0.0,66,6,1,0.39,0.0,0.0,7,2,0,0,460,1.37,0,0,2000
418,,,,,eng,John Salako,MF,31.0,,,,,,,,,,,Charlton Athletic,0,0.2,3,0,0.2,0.0,28,4,12,0.2,0.2,0.0,16,1,0,1,453,0.6,1,0,2000
419,,,,,eng,Lee Sharpe,MF,29.0,,,,,,,,,,,Bradford City,0,0.2,3,0,0.2,0.0,45,6,4,0.0,0.0,0.0,10,0,0,1,452,0.6,0,0,2000
420,,,,,es,Marcelino Elena,DF,28.0,,,,,,,,,,,Newcastle United,0,0.0,8,0,0.0,0.0,75,5,1,0.2,0.2,0.0,6,1,0,0,451,1.6,1,0,2000
421,,,,,wal,Mark Hughes,FW,36.0,,,,,,,,,,,Everton,0,0.0,12,0,0.0,0.0,50,6,3,0.2,0.8,0.0,9,1,0,0,450,2.4,4,0,2000
422,,,,,eng,Steve Elliott,DF,21.0,,,,,,,,,,,Derby County,0,0.0,8,0,0.0,0.0,74,5,1,0.2,0.2,0.0,6,1,0,0,444,1.62,1,0,2000
423,,,,,it,Alessandro Pistone,DF,25.0,,,,,,,,,,,Everton,0,0.0,4,0,0.0,0.0,63,5,2,0.62,0.0,0.0,7,2,1,0,439,0.82,0,0,2000
424,,,,,ar,Nelson Vivas,DF,30.0,,,,,,,,,,,Arsenal,0,0.21,5,0,0.21,0.0,35,3,9,0.0,0.43,0.0,12,0,0,1,421,1.07,2,1,2000
425,,,,,bg,Svetoslav Todorov,FW,21.0,,,,,,,,,,,West Ham United,0,0.43,12,1,0.43,0.22,52,2,6,0.22,1.74,0.22,8,1,0,1,414,2.61,8,0,2000
426,,,,,eng,Michael Duberry,DF,24.0,,,,,,,,,,,Leeds United,0,0.0,12,0,0.0,0.0,81,5,0,0.0,0.22,0.0,5,0,0,0,406,2.66,1,0,2000
427,,,,,eng,Darren Holloway,DF,22.0,,,,,,,,,,,Sunderland,0,0.0,9,0,0.0,0.0,80,5,0,0.9,0.23,0.0,5,4,0,0,400,2.03,1,0,2000
428,,,,,eng,Andy Campbell,FW,21.0,,,,,,,,,,,Middlesbrough,0,0.0,2,0,0.0,0.0,57,5,2,0.0,0.23,0.0,7,0,0,0,400,0.45,1,0,2000
429,,,,,wal,Dean Saunders,FW,36.0,,,,,,,,,,,Bradford City,0,0.0,2,0,0.0,0.0,40,4,6,0.0,0.23,0.0,10,0,0,0,399,0.45,1,0,2000
430,,,,,gn,Titi Camara,FW,27.0,,,,,,,,,,,West Ham United,0,0.0,5,0,0.0,0.0,66,5,1,0.23,0.92,0.0,6,1,0,0,393,1.15,4,0,2000
431,,,,,fr,Grégory Vignal,DF,19.0,,,,,,,,,,,Liverpool,0,0.0,9,0,0.0,0.0,65,4,2,0.46,0.0,0.0,6,2,0,0,392,2.07,0,0,2000
432,,,,,eng,Danny Dichio,FW,25.0,,,,,,,,,,,Sunderland,0,0.46,22,1,0.46,0.23,26,2,13,0.46,1.38,0.23,15,2,0,1,390,5.08,6,0,2000
433,,,,,no,Trond Egil Soltvedt,MF,33.0,,,,,,,,,,,Southampton,0,0.25,2,1,0.25,0.25,61,3,3,0.0,0.25,0.25,6,0,0,0,366,0.49,1,0,2000
434,,,,,eng,Chris Armstrong,FW,29.0,,,,,,,,,,,Tottenham Hotspur,0,0.5,13,2,0.5,0.5,40,3,6,0.0,0.99,0.5,9,0,0,0,363,3.22,4,0,2000
435,,,,,ie,Stephen McPhail,MF,20.0,,,,,,,,,,,Leeds United,0,0.0,1,0,0.0,0.0,51,3,4,0.0,0.25,0.0,7,0,0,0,356,0.25,1,0,2000
436,,,,,fi,Jari Litmanen,"FW,MF",29.0,,,,,,,,,,,Liverpool,1,0.54,3,1,0.27,0.27,67,4,1,0.27,1.34,0.0,5,1,0,1,336,0.8,5,1,2000
437,,,,,au,Hayden Foxe,DF,23.0,,,,,,,,,,,West Ham United,0,0.0,8,0,0.0,0.0,66,3,2,0.55,0.27,0.0,5,2,0,0,329,2.19,1,0,2000
438,,,,,eng,Richard Cresswell,FW,22.0,,,,,,,,,,,Leicester City,0,0.0,13,0,0.0,0.0,41,3,5,0.28,1.38,0.0,8,1,0,0,325,3.6,5,0,2000
439,,,,,nl,Winston Bogarde,DF,29.0,,,,,,,,,,,Chelsea,0,0.0,4,0,0.0,0.0,35,2,7,0.0,0.0,0.0,9,0,0,0,317,1.14,0,0,2000
440,,,,,eng,Andy Booth,FW,26.0,,,,,,,,,,,Tottenham Hotspur,0,0.0,5,0,0.0,0.0,79,3,1,0.0,1.43,0.0,4,0,0,0,315,1.43,5,0,2000
441,,,,,be,Gilles De Bilde,FW,29.0,,,,,,,,,,,Aston Villa,0,0.0,11,0,0.0,0.0,76,4,0,0.0,0.3,0.0,4,0,0,0,303,3.27,1,0,2000
442,,,,,nz,Danny Hay,DF,25.0,,,,,,,,,,,Leeds United,0,0.0,1,0,0.0,0.0,75,2,2,0.0,0.9,0.0,4,0,0,0,299,0.3,3,0,2000
443,,,,,au,Jacob Burns,MF,22.0,,,,,,,,,,,Leeds United,0,0.0,8,0,0.0,0.0,74,3,1,0.0,0.0,0.0,4,0,0,0,297,2.42,0,0,2000
444,,,,,ar,Carlos Marinelli,MF,18.0,,,,,,,,,,,Middlesbrough,0,0.31,7,0,0.31,0.0,25,2,10,0.61,0.92,0.0,12,1,1,1,295,2.14,3,0,2000
445,,,,,ie,Damien Delaney,DF,19.0,,,,,,,,,,,Leicester City,0,0.0,8,0,0.0,0.0,58,3,2,0.31,0.62,0.0,5,1,0,0,291,2.47,2,0,2000
446,,,,,us,Steve Potts,DF,33.0,,,,,,,,,,,West Ham United,0,0.0,4,0,0.0,0.0,35,2,6,0.0,0.32,0.0,8,0,0,0,282,1.28,1,0,2000
447,,,,,eng,Jonathan Greening,MF,21.0,,,,,,,,,,,Manchester United,0,0.33,5,0,0.33,0.0,39,3,4,0.33,0.99,0.0,7,1,0,1,273,1.65,3,0,2000
448,,,,,is,Þórður Guðjónsson,"FW,MF",26.0,,,,,,,,,,,Derby County,0,0.33,5,1,0.33,0.33,27,2,8,0.33,1.0,0.33,10,1,0,0,269,1.67,3,0,2000
449,,,,,wal,John Oster,MF,21.0,,,,,,,,,,,Sunderland,0,0.0,7,0,0.0,0.0,33,2,6,0.34,0.69,0.0,8,0,1,0,262,2.4,2,0,2000
450,,,,,eng,Jay Bothroyd,FW,18.0,,,,,,,,,,,Coventry City,0,0.0,8,0,0.0,0.0,30,3,5,0.0,0.74,0.0,8,0,0,0,243,2.96,2,0,2000
451,,,,,it,Roberto Mancini,FW,35.0,,,,,,,,,,,Leicester City,0,0.0,6,0,0.0,0.0,61,3,1,0.0,0.74,0.0,4,0,0,0,242,2.23,2,0,2000
452,,,,,eng,Stan Collymore,FW,29.0,,,,,,,,,,,Leicester City,0,0.37,8,1,0.37,0.37,48,1,4,0.0,1.49,0.37,5,0,0,0,242,2.98,4,0,2000
453,,,,,sco,Michael Stewart,MF,19.0,,,,,,,,,,,Manchester United,0,0.0,7,0,0.0,0.0,80,3,0,0.38,0.38,0.0,3,1,0,0,239,2.64,1,0,2000
454,,,,,cl,Javier Margas,DF,31.0,,,,,,,,,,,West Ham United,0,0.0,3,0,0.0,0.0,79,3,0,0.38,0.38,0.0,3,1,0,0,238,1.13,1,0,2000
455,,,,,ar,Mauricio Taricco,DF,27.0,,,,,,,,,,,Tottenham Hotspur,0,0.0,1,0,0.0,0.0,47,2,3,0.38,0.38,0.0,5,1,0,0,235,0.38,1,0,2000
