,pens_made,goals_assists_per90,position,fouls,goals,player,goals_assists_pens_per90,squad,goals_per90,minutes_per_game,games_starts,games_subs,cards_per90,shots_on_target_per90,goals_pens_per90,games,cards_yellow,cards_red,nationality,assists,minutes,fouls_per90,age,shots_on_target,pens_att
297,0,0.27,FW,14,3,Hugo Rodallega,0.27,Wigan Athletic,0.27,66,9,6,0.00,1.28,0.27,15,0,0,co COL,0,983,1.28,23,14,0
298,0,0.19,DF,3,1,Ricardo Carvalho,0.19,Chelsea,0.09,80,11,1,0.19,0.09,0.09,12,2,0,pt POR,1,965,0.28,30,1,0
299,0,0.56,MF,16,2,Joe Cole,0.56,Chelsea,0.19,69,14,0,0.19,0.94,0.19,14,2,0,eng ENG,4,960,1.50,26,10,0
300,0,0.00,"DF,MF",13,0,Danny Pugh,0.00,Stoke City,0.00,55,9,8,0.00,0.10,0.00,17,0,0,eng ENG,0,934,1.25,25,1,0
301,0,0.00,MF,17,0,Anderson,0.00,Manchester United,0.00,55,11,6,0.00,0.58,0.00,17,0,0,br BRA,0,930,1.65,20,6,0
302,1,0.59,FW,11,5,Jô,0.49,Everton,0.49,77,11,1,0.00,1.66,0.39,12,0,0,br BRA,1,921,1.07,21,17,1
303,0,0.29,FW,11,2,Emile Heskey,0.29,Aston Villa,0.20,66,11,3,0.00,0.98,0.20,14,0,0,eng ENG,1,917,1.08,30,10,0
304,0,0.00,DF,8,0,Leon Barnett,0.00,West Bromwich Albion,0.00,83,10,1,0.10,0.00,0.00,11,1,0,eng ENG,0,912,0.79,22,0,0
305,0,0.00,MF,24,0,Lassana Diarra,0.00,Portsmouth,0.00,75,11,1,0.50,0.10,0.00,12,4,1,fr FRA,0,902,2.39,23,1,0
306,0,0.00,GK,0,0,Matt Duke,0.00,Hull City,0.00,90,10,0,0.00,0.00,0.00,10,0,0,eng ENG,0,900,0.00,31,0,0
307,0,0.20,"FW,MF",9,1,Olivier Kapo,0.20,Wigan Athletic,0.10,47,10,9,0.10,0.70,0.10,19,1,0,fr FRA,1,895,0.91,27,7,0
308,0,0.00,DF,14,0,Danny Simpson,0.00,Blackburn Rovers,0.00,74,10,2,0.20,0.00,0.00,12,2,0,eng ENG,0,888,1.42,21,0,0
309,0,0.32,"MF,FW",12,3,Ryan Babel,0.32,Liverpool,0.32,32,6,21,0.21,1.16,0.32,27,2,0,nl NED,0,852,1.27,21,11,0
310,0,0.00,DF,8,0,Emiliano Insúa,0.00,Liverpool,0.00,85,9,1,0.00,0.21,0.00,10,0,0,ar ARG,0,847,0.85,19,2,0
311,0,0.00,DF,5,0,Leon Cort,0.00,Stoke City,0.00,77,9,2,0.00,0.32,0.00,11,0,0,gy GUY,0,845,0.53,28,3,0
312,0,0.00,MF,21,0,Mohamed Shawky,0.00,Middlesbrough,0.00,65,11,2,0.32,0.11,0.00,13,3,0,eg EGY,0,845,2.24,26,1,0
313,0,0.00,"DF,MF",12,0,Aaron Mokoena,0.00,Blackburn Rovers,0.00,47,9,9,0.32,0.21,0.00,18,3,0,za RSA,0,842,1.28,27,2,0
314,0,0.44,"FW,MF",11,4,Felipe Caicedo,0.44,Manchester City,0.44,48,10,7,0.22,1.32,0.44,17,2,0,ec ECU,0,819,1.21,19,12,0
315,0,0.00,"DF,MF",8,0,Carlos Edwards,0.00,Sunderland,0.00,36,6,16,0.00,0.34,0.00,22,0,0,tt TRI,0,792,0.91,29,3,0
316,0,0.00,DF,10,0,Danny Shittu,0.00,Bolton Wanderers,0.00,79,9,1,0.11,0.23,0.00,10,1,0,ng NGA,0,789,1.14,27,2,0
317,0,0.00,"DF,MF",12,0,Jack Rodwell,0.00,Everton,0.00,46,8,9,0.00,0.58,0.00,17,0,0,eng ENG,0,775,1.39,17,5,0
318,0,0.12,FW,13,0,Dave Kitson,0.12,Stoke City,0.00,48,10,6,0.23,0.35,0.00,16,2,0,eng ENG,1,770,1.52,28,3,0
319,0,0.12,"DF,MF",5,1,Michael Essien,0.12,Chelsea,0.12,70,10,1,0.00,0.70,0.12,11,0,0,gh GHA,0,767,0.59,25,6,0
320,0,0.00,DF,7,0,Tal Ben Haim,0.00,Manchester City,0.00,85,8,1,0.24,0.24,0.00,9,2,0,il ISR,0,765,0.82,26,2,0
321,0,0.00,MF,9,0,Kim Do-heon,0.00,West Bromwich Albion,0.00,48,9,7,0.12,0.59,0.00,16,1,0,kr KOR,0,765,1.06,26,5,0
322,0,0.12,MF,10,0,Mark Davies,0.12,Bolton Wanderers,0.00,76,8,2,0.36,0.24,0.00,10,3,0,eng ENG,1,759,1.19,20,2,0
323,0,0.12,MF,10,1,David Dunn,0.12,Blackburn Rovers,0.12,50,7,8,0.00,1.19,0.12,15,0,0,eng ENG,0,756,1.19,28,10,0
324,0,0.12,"MF,DF",15,0,Ryan Taylor,0.12,Newcastle United,0.00,75,8,2,0.48,0.12,0.00,10,4,0,eng ENG,1,751,1.80,23,1,0
325,0,0.49,FW,10,3,Diego Tristán,0.49,West Ham United,0.37,52,8,6,0.00,1.23,0.37,14,0,0,es ESP,1,733,1.23,32,10,0
326,0,0.25,MF,5,2,Matthew Etherington,0.25,West Ham United,0.25,56,8,5,0.12,0.25,0.25,13,1,0,eng ENG,0,731,0.62,26,2,0
327,0,0.25,"MF,FW",11,1,John Utaka,0.25,Portsmouth,0.13,40,4,14,0.13,0.88,0.13,18,1,0,ng NGA,1,718,1.38,26,7,1
328,0,0.38,"MF,DF",13,3,Juliano Belletti,0.38,Chelsea,0.38,36,5,15,0.25,0.75,0.38,20,2,0,br BRA,0,718,1.63,32,6,0
329,0,0.13,"DF,MF",17,1,Radoslav Kováč,0.13,West Ham United,0.13,80,8,1,0.25,0.25,0.13,9,2,0,cz CZE,0,718,2.13,28,2,0
330,0,0.13,DF,6,0,Michael Ball,0.13,Manchester City,0.00,89,8,0,0.00,0.38,0.00,8,0,0,eng ENG,1,713,0.76,28,3,0
331,0,0.00,DF,5,0,Ibrahima Sonko,0.00,Stoke City,0.00,50,7,7,0.00,0.00,0.00,14,0,0,sn SEN,0,702,0.64,27,0,0
332,0,0.13,"FW,MF",7,1,Jay Simpson,0.13,West Bromwich Albion,0.13,54,9,4,0.00,0.64,0.13,13,0,0,eng ENG,0,702,0.90,19,5,0
333,0,0.26,FW,7,2,Matt Derbyshire,0.26,Blackburn Rovers,0.26,41,5,12,0.13,1.03,0.26,17,1,0,eng ENG,0,699,0.90,22,8,0
334,0,0.13,FW,16,1,Luke Moore,0.13,West Bromwich Albion,0.13,33,5,16,0.13,0.65,0.13,21,1,0,eng ENG,0,690,2.09,22,5,0
335,0,0.13,MF,1,0,Jason Koumas,0.13,Wigan Athletic,0.00,42,5,11,0.00,0.66,0.00,16,0,0,wal WAL,1,679,0.13,28,5,0
336,0,0.13,MF,7,1,Hayden Mullins,0.13,West Ham United,0.13,40,5,12,0.13,0.27,0.13,17,1,0,eng ENG,0,673,0.94,29,2,0
337,0,0.00,"DF,GK",14,0,Carl Hoefkens,0.00,West Bromwich Albion,0.00,66,6,4,0.00,0.00,0.00,10,0,0,be BEL,0,663,1.90,29,0,0
338,0,0.27,FW,16,2,Manucho,0.27,Hull City,0.27,51,6,7,0.00,1.51,0.27,13,0,0,ao ANG,0,657,2.19,25,11,0
339,0,0.28,MF,11,2,Ben Watson,0.28,Wigan Athletic,0.28,65,6,4,0.14,1.10,0.28,10,1,0,eng ENG,0,654,1.51,23,8,0
340,0,0.14,"MF,FW",16,0,Carlos Villanueva,0.14,Blackburn Rovers,0.00,50,6,7,0.14,0.41,0.00,13,1,0,cl CHI,1,651,2.21,22,3,0
341,0,0.42,"FW,MF",6,3,Peter Løvenkrands,0.42,Newcastle United,0.42,54,8,4,0.00,1.12,0.42,12,0,0,dk DEN,0,644,0.84,28,8,0
342,0,0.00,"FW,MF",7,0,Daryl Murphy,0.00,Sunderland,0.00,28,6,17,0.00,0.28,0.00,23,0,0,ie IRL,0,637,0.99,25,2,0
343,0,0.29,DF,8,1,Calum Davenport,0.29,West Ham United,0.14,90,7,0,0.14,0.43,0.14,7,1,0,eng ENG,1,630,1.14,25,3,0
344,0,0.29,MF,3,2,Junior Stanislas,0.29,West Ham United,0.29,70,7,2,0.14,1.00,0.29,9,1,0,eng ENG,0,627,0.43,18,7,0
345,0,0.58,FW,24,4,Mido,0.58,Middlesbrough,0.58,48,5,8,0.44,1.16,0.58,13,3,0,eg EGY,0,620,3.48,25,8,0
346,0,0.30,FW,12,0,Mark Viduka,0.30,Newcastle United,0.00,51,6,6,0.00,0.59,0.00,12,0,0,au AUS,2,606,1.78,32,4,0
347,0,0.15,MF,10,1,Jamie O'Hara,0.15,Tottenham Hotspur,0.15,40,6,9,0.30,0.30,0.15,15,2,0,eng ENG,0,605,1.49,21,2,0
348,0,0.30,DF,12,1,David Edgar,0.30,Newcastle United,0.15,55,7,4,0.45,0.15,0.15,11,2,1,ca CAN,1,601,1.80,21,1,0
349,0,0.15,DF,13,1,Wes Brown,0.15,Manchester United,0.15,75,6,2,0.45,0.30,0.15,8,3,0,eng ENG,0,596,1.96,28,2,0
350,0,0.00,DF,5,0,Alan Hutton,0.00,Tottenham Hotspur,0.00,73,5,3,0.31,0.00,0.00,8,2,0,sco SCO,0,586,0.77,23,0,0
351,0,0.31,"DF,MF",7,2,Dan Gosling,0.31,Everton,0.31,53,6,5,0.15,0.92,0.31,11,1,0,eng ENG,0,586,1.08,18,6,0
352,0,0.15,"FW,MF",6,0,Daniël de Ridder,0.15,Wigan Athletic,0.00,32,5,13,0.00,1.08,0.00,18,0,0,nl NED,1,582,0.93,24,7,0
353,0,0.31,FW,15,1,Victor Anichebe,0.31,Everton,0.15,34,5,12,0.00,0.77,0.15,17,0,0,ng NGA,1,582,2.32,20,5,0
354,0,0.16,"MF,DF",7,0,Péter Halmosi,0.16,Hull City,0.00,31,4,14,0.16,0.32,0.00,18,1,0,hu HUN,1,562,1.12,28,2,0
355,0,0.64,FW,5,3,Jermain Defoe,0.64,Tottenham Hotspur,0.48,70,6,2,0.00,1.12,0.48,8,0,0,eng ENG,1,561,0.80,25,7,1
356,0,0.65,"FW,MF",12,1,Nani,0.65,Manchester United,0.16,42,7,6,0.16,0.65,0.16,13,1,0,pt POR,3,550,1.96,21,4,0
357,0,0.33,FW,13,1,Benjani Mwaruwari,0.33,Manchester City,0.16,69,7,1,0.00,0.16,0.16,8,0,0,zw ZIM,1,550,2.13,29,1,0
358,0,0.00,DF,8,0,Shelton Martis,0.00,West Bromwich Albion,0.00,79,6,1,0.00,0.16,0.00,7,0,0,cw CUW,0,550,1.31,25,1,0
359,0,0.00,DF,8,0,Anthony Gardner,0.00,Hull City,0.00,90,6,0,0.00,0.00,0.00,6,0,0,eng ENG,0,540,1.33,27,0,0
360,0,0.00,DF,3,0,Kieran Gibbs,0.00,Arsenal,0.00,67,6,2,0.17,0.00,0.00,8,1,0,eng ENG,0,535,0.50,18,0,0
361,0,0.51,FW,14,3,Andy Carroll,0.51,Newcastle United,0.51,38,5,9,0.34,1.18,0.51,14,2,0,eng ENG,0,533,2.36,19,7,0
